currency_name|currency_description|currency_alpha_3|currency_type|b2binpay_currency_id|country_id|meta_status
uae dirham|UAE Dirham|aed|fiat|None|1|active
us dollar|US Dollar|usd|fiat|None|1|active
usdt|Tether|usdt|cryptocurrency|None|1|active
usdc|USD Coin|usdc|cryptocurrency|None|1|active
bitcoin|Bitcoin|btc|cryptocurrency|None|1|active
ethereum|Ethereum|eth|cryptocurrency|1002|1|active
litecoin|Litecoin|ltc|cryptocurrency|None|1|active
dogecoin|Dogecoin|doge|cryptocurrency|None|1|active
shibainu|Shibainu|shib|cryptocurrency|None|1|active
apecoin|Apecoin|ape|cryptocurrency|None|1|active
bitcoincash|Bitcoin Cash|bch|cryptocurrency|None|1|active
dai|DAI|dai|cryptocurrency|None|1|active
afghani|Afghani|afn|fiat|None|1|active
lek|Lek|all|fiat|None|1|active
armenian dram|Armenian Dram|amd|fiat|None|1|active
netherlands antillean guilder|Netherlands Antillean Guilder|ang|fiat|None|1|active
kwanza|Kwanza|aoa|fiat|None|1|active
argentine peso|Argentine Peso|ars|fiat|None|1|active
australian dollar|Australian Dollar|aud|fiat|None|1|active
aruban florin|Aruban Florin|awg|fiat|None|1|active
azerbaijanian manat|Azerbaijanian Manat|azn|fiat|None|1|active
convertible mark|Convertible Mark|bam|fiat|None|1|active
barbados dollar|Barbados Dollar|bbd|fiat|None|1|active
taka|Taka|bdt|fiat|None|1|active
bulgarian lev|Bulgarian Lev|bgn|fiat|None|1|active
bahraini dinar|Bahraini Dinar|bhd|fiat|None|1|active
burundi franc|Burundi Franc|bif|fiat|None|1|active
bermudian dollar|Bermudian Dollar|bmd|fiat|None|1|active
brunei dollar|Brunei Dollar|bnd|fiat|None|1|active
boliviano|Boliviano|bob|fiat|None|1|active
brazilian real|Brazilian Real|brl|fiat|None|1|active
bahamian dollar|Bahamian Dollar|bsd|fiat|None|1|active
pula|Pula|bwp|fiat|None|1|active
belarussian ruble|Belarussian Ruble|byn|fiat|None|1|active
belize dollar|Belize Dollar|bzd|fiat|None|1|active
canadian dollar|Canadian Dollar|cad|fiat|None|1|active
congolese franc|Congolese Franc|cdf|fiat|None|1|active
swiss franc|Swiss Franc|chf|fiat|None|1|active
chilean peso|Chilean Peso|clp|fiat|None|1|active
yuan renminbi|Yuan Renminbi|cny|fiat|None|1|active
colombian peso|Colombian Peso|cop|fiat|None|1|active
costa rican colon|Costa Rican Colon|crc|fiat|None|1|active
cabo verde escudo|Cabo Verde Escudo|cve|fiat|None|1|active
czech koruna|Czech Koruna|czk|fiat|None|1|active
djibouti franc|Djibouti Franc|djf|fiat|None|1|active
danish krone|Danish Krone|dkk|fiat|None|1|active
dominican peso|Dominican Peso|dop|fiat|None|1|active
algerian dinar|Algerian Dinar|dzd|fiat|None|1|active
egyptian pound|Egyptian Pound|egp|fiat|None|1|active
ethiopian birr|Ethiopian Birr|etb|fiat|None|1|active
euro|Euro|eur|fiat|None|1|active
fiji dollar|Fiji Dollar|fjd|fiat|None|1|active
falkland islands pound|Falkland Islands Pound|fkp|fiat|None|1|active
pound sterling|Pound Sterling|gbp|fiat|None|1|active
lari|Lari|gel|fiat|None|1|active
gibraltar pound|Gibraltar Pound|gip|fiat|None|1|active
dalasi|Dalasi|gmd|fiat|None|1|active
guinea franc|Guinea Franc|gnf|fiat|None|1|active
