item_category_name_en|item_category_name_ar|item_category_description_en|item_category_description_ar|parent_item_category_id|meta_status
smokey duos|SMOKEY DUOS|None|None|None|active
originals|ORIGINALS|None|None|None|active
the burgers|THE BURGERS|None|None|None|active
combos|COMBOS|None|None|None|active
smoked wings|SMOKED WINGS|None|None|None|active
farm wraps|FARM WRAPS|None|None|None|active
platters|PLATTERS|None|None|None|active
sides|SIDES|None|None|None|active
sauces/extras|SAUCES/EXTRAS|None|None|None|active
drinks|DRINKS|None|None|None|active
